line_item_id,order_id,order_date,product_id,color,size,quantity,unit_price
L0001,O1001,2025-01-01,P005,Laurel,XL,2,20.0
L0002,O1001,2025-01-01,P001,Chalk,L,1,48.0
L0003,O1001,2025-01-01,P002,Chalk,XL,1,44.0
L0004,O1002,2025-01-01,P004,Obsidian,L,1,58.0
L0005,O1003,2025-01-01,P002,Stone,S,1,44.0
L0006,O1003,2025-01-01,P005,Oyster,L,1,20.0
L0007,O1004,2025-01-01,P005,Loden,2X,1,20.0
L0008,O1005,2025-01-02,P005,Obsidian,3X,1,20.0
L0009,O1006,2025-01-02,P008,Onyx,XL,1,22.0
L0010,O1007,2025-01-03,P005,Laurel,2X,2,20.0
L0011,O1008,2025-01-04,P006,Stone,XL,1,88.0
L0012,O1009,2025-01-04,P007,Jungle,L,1,98.0
L0013,O1010,2025-01-05,P001,Atmosphere,3X,1,48.0
L0014,O1010,2025-01-05,P002,Chalk,M,1,44.0
L0015,O1010,2025-01-05,P005,Laurel,M,1,20.0
L0016,O1011,2025-01-06,P003,Atmosphere,XL,1,54.0
L0017,O1012,2025-01-06,P005,Loden,L,1,20.0
L0018,O1013,2025-01-06,P001,Chalk,2X,3,48.0
L0019,O1014,2025-01-06,P002,Chalk,L,1,44.0
L0020,O1015,2025-01-06,P006,Jungle,XL,1,88.0
L0021,O1016,2025-01-07,P008,Light Heather Grey,M,1,22.0
L0022,O1017,2025-01-07,P001,Chalk,L,2,48.0
L0023,O1018,2025-01-07,P008,Light Heather Grey,XL,1,22.0
L0024,O1019,2025-01-08,P008,Light Heather Grey,2X,1,22.0
L0025,O1019,2025-01-08,P005,Gunmetal,S,1,20.0
L0026,O1020,2025-01-09,P005,Laurel,XL,2,20.0
L0027,O1021,2025-01-09,P002,Onyx,2X,1,44.0
L0028,O1022,2025-01-11,P008,Onyx,M,1,22.0
L0029,O1023,2025-01-11,P005,Obsidian,XL,2,20.0
L0030,O1024,2025-01-12,P005,Currant,XS,1,20.0
L0031,O1025,2025-01-12,P001,Chalk,L,1,48.0
L0032,O1026,2025-01-12,P002,Driftwood,L,1,44.0
L0033,O1027,2025-01-13,P002,Stone,L,1,44.0
L0034,O1027,2025-01-13,P003,Atmosphere,3X,1,54.0
L0035,O1028,2025-01-13,P005,Obsidian,L,1,20.0
L0036,O1029,2025-01-13,P002,Onyx,S,1,44.0
L0037,O1029,2025-01-13,P001,Chalk,S,1,48.0
L0038,O1030,2025-01-14,P006,Jungle,XL,1,88.0
L0039,O1030,2025-01-14,P008,Onyx,L,3,22.0
L0040,O1031,2025-01-14,P004,Raven,S,1,58.0
L0041,O1032,2025-01-15,P002,Navy,XS,2,44.0
L0042,O1033,2025-01-15,P003,Obsidian,XL,1,54.0
L0043,O1034,2025-01-16,P007,Jungle,L,1,98.0
L0044,O1035,2025-01-17,P003,Atmosphere,L,2,54.0
L0045,O1036,2025-01-17,P002,Navy,3X,1,44.0
L0046,O1037,2025-01-17,P004,Chalk,S,1,58.0
L0047,O1037,2025-01-17,P003,Chalk,XS,1,54.0
